id,day_night,university,department,category,major_area,course_type,grade,course_number,course_name,section,credits,theory_hours,practice_hours,professor,class_time,class_location,class_type
1,주간,,1학년,,,기초교양,,112919,기초글쓰기,1,3,3,0,이강하,"(월)3,4(수)1",인문관-1102,대면
2,주간,,1학년,,,기초교양,,112919,기초글쓰기,02,3,3,0,박성준,"(월)3,4(수)1",인문관-1103,대면
3,주간,,1학년,,,기초교양,,112919,기초글쓰기,03,3,3,0,채용예정,"(월)3,4(수)1",자연대4-4507,대면
4,주간,,1학년,,,기초교양,,112919,기초글쓰기,04,3,3,0,이강하,"(월)6,7(수)7",인문관-1120,대면
5,주간,,1학년,,,기초교양,,112919,기초글쓰기,05,3,3,0,조규찬,"(월)6,7(수)7",사회관-2227,대면
6,주간,,1학년,,,기초교양,,112919,기초글쓰기,06,3,3,0,박성준,"(월)6,7(수)7",자연대4-4505,대면
7,주간,,1학년,,,기초교양,,112919,기초글쓰기,07,3,3,0,조규찬,"(월)8,9(수)6",인문관-1120,대면
8,주간,,1학년,,,기초교양,,112919,기초글쓰기,08,3,3,0,채용예정,"(월)8,9(수)6",인문관-1328,대면
9,주간,,1학년,,,기초교양,,112919,기초글쓰기,09,3,3,0,채용예정,"(수)2(금)1,2",인문관-1121,대면
10,주간,,1학년,,,기초교양,,112919,기초글쓰기,10,3,3,0,채용예정,"(수)4(금)3,4",사회관-2328,대면
11,주간,,1학년,,,기초교양,,112919,기초글쓰기,11,3,3,0,정훈,"(화)1,2(목)3",인문관-1102,대면
12,주간,,1학년,,,기초교양,,112919,기초글쓰기,12,3,3,0,채용예정,"(화)1,2(목)3",인문관-1105,대면
13,주간,,1학년,,,기초교양,,112919,기초글쓰기,13,3,3,0,채용예정,"(화)1,2(목)3",사회관-2328,대면
14,주간,,1학년,,,기초교양,,112919,기초글쓰기,14,3,3,0,정훈,"(화)3(목)1,2",인문관-1105,대면
15,주간,,1학년,,,기초교양,,112919,기초글쓰기,15,3,3,0,채용예정,"(화)3(목)1,2",인문관-1106,대면
16,주간,,1학년,,,기초교양,,112919,기초글쓰기,16,3,3,0,채용예정,"(화)3(목)1,2",자연대4-4505,대면
17,주간,,1학년,,,기초교양,,112919,기초글쓰기,17,3,3,0,채용예정,"(수)2(금)1,2",인문관-1103,대면
18,주간,,1학년,,,기초교양,,112919,기초글쓰기,18,3,3,0,채용예정,"(수)2(금)1,2",사회관-2227,대면
19,주간,,1학년,,,기초교양,,112919,기초글쓰기,19,3,3,0,채용예정,"(수)2(금)1,2",자연대4-4507,대면
20,주간,,1학년,,,기초교양,,112919,기초글쓰기,20,3,3,0,채용예정,"(수)4(금)3,4",인문관-1120,대면
21,주간,,1학년,,,기초교양,,112919,기초글쓰기,21,3,3,0,채용예정,"(수)4(금)3,4",사회관-2227,대면
22,주간,,1학년,,,기초교양,,112919,기초글쓰기,22,3,3,0,채용예정,"(수)4(금)3,4",자연대4-4505,대면
23,주간,,전체,,,기초교양,,115638,기초영문법,01,3,3,0,조기현,"(월)6,7(수)7",사회관-2204,대면
24,야간,,※ 선취업후진학,,,기초교양,,115638,기초영문법,02,3,3,0,조기현,"(월)10,11,12",원격강의,비대면
25,주간,,전체,,,기초교양,,100599,기초중국어,01,3,3,0,한재환,"(월)8,9(수)6",인문관-1219,대면
26,주간,,1학년,,,기초교양,,116100,데이터분석을위한기초코딩,01,3,2,2,강규창,"(화)6,7(목)8,9",공대3-13524(PC실),대면
27,주간,,1학년,,,기초교양,,116100,데이터분석을위한기초코딩,02,3,2,2,양현호,"(화)3,4(목)1,2",공대1-7117(PC실),대면
28,주간,,1학년,,,기초교양,,116100,데이터분석을위한기초코딩,03,3,2,2,박혜영,"(화)1,2(목)3,4",인문관-1244,대면
29,주간,,1학년,,,기초교양,,116100,데이터분석을위한기초코딩,04,3,2,2,이진관,"(화)3,4(목)1,2",종합-131-219,대면
30,주간,,1학년,,,기초교양,,116100,데이터분석을위한기초코딩,05,3,2,2,이진관,"(화)1,2(목)3,4",종합-131-219,대면
31,주간,,국어국문학과 (1학년 대상),,,기초교양,,111452,비전있는대학생활,01,2,2,0,이다운,"(수)5,6",인문관-1320,대면
32,주간,,영어영문학과 (1학년 대상),,,기초교양,,111452,비전있는대학생활,02,2,2,0,이일수,"(수)3,4",인문관-1324,대면
33,주간,,일어일문학과 (1학년 대상),,,기초교양,,111452,비전있는대학생활,03,2,2,0,최태화,"(월)8,9",인문관-1234,대면
34,주간,,중어중문학과 (1학년 대상),,,기초교양,,111452,비전있는대학생활,04,2,2,0,박병선,"(월)6,7",인문관-1420,대면
35,주간,,역사학과 (1학년 대상),,,기초교양,,111452,비전있는대학생활,05,2,2,0,구희진,"(수)6,7",인문관-1220,대면
36,주간,,철학과 (1학년 대상),,,기초교양,,111452,비전있는대학생활,06,2,2,0,유재민,"(수)5,6",인문관-1223,대면
37,주간,,금융부동산경제학과 (1학년 대상),,,기초교양,,111452,비전있는대학생활,07,2,2,0,양정승,"(목)6,7",사회관-2329,대면
38,주간,,무역학과 (1학년 대상),,,기초교양,,111452,비전있는대학생활,08,2,2,0,양우영,"(목)6,7",사회관-2229,대면
39,주간,,국제물류학과 (1학년 대상),,,기초교양,,111452,비전있는대학생활,09,2,2,0,박호,"(목)8,9",종합-131-209,대면
40,주간,,미술학과 (1학년 대상),,,기초교양,,111452,비전있는대학생활,10,2,2,0,임영희,"(월)5,6",예능관-5106,대면
41,주간,,산업디자인학과 (1학년 대상),,,기초교양,,111452,비전있는대학생활,11,2,2,0,민지혜,"(수)6,7",예능관-5401,대면
42,주간,,음악과 (1학년 대상),,,기초교양,,111452,비전있는대학생활,12,2,2,0,이현주,"(화)1,2",음악관-10123,대면
43,주간,,벤처창업학과 (1학년 대상),,,기초교양,,111452,비전있는대학생활,13,2,2,0,박윤수,"(수)3,4",두드림-4407,대면
44,주간,,수학과 (1학년 대상),,,기초교양,,111452,비전있는대학생활,14,2,2,0,서효원,"(수)2,3",자연대3-3402,대면
45,주간,,생명과학과 (1학년 대상),,,기초교양,,111452,비전있는대학생활,15,2,2,0,이효정,"(목)8,9",자연대4-4403,대면
46,주간,,해양생명과학과 (1학년 대상),,,기초교양,,111452,비전있는대학생활,16,2,2,0,조상만,"(수)2,3",해대1-701215,대면
47,주간,,해양생물자원학과 (1학년 대상),,,기초교양,,111452,비전있는대학생활,17,2,2,0,유영두,"(화)8,9",해대1-701318,대면
48,주간,,수산생명의학과 (1학년 대상),,,기초교양,,111452,비전있는대학생활,18,2,2,0,김보성,"(목)3,4",해대1-701418,대면
49,주간,,식품영양학전공 (1학년 대상),,,기초교양,,111452,비전있는대학생활,19,2,2,0,유현희,"(목)3,4",자연대2-2303,대면
50,주간,,식품생명공학전공 (1학년 대상),,,기초교양,,111452,비전있는대학생활,20,2,2,0,김용태,"(월)3,4",해대2-702110,대면
51,주간,,해양수산공공인재학과 (1학년 대상),,,기초교양,,111452,비전있는대학생활,21,2,2,0,정초영,"(금)3,4",해대1-701714,대면
52,주간,,전자공학과 (1학년 대상),,,기초교양,,111452,비전있는대학생활,22,2,2,0,정준모,"(화)8,9",공대3-13226(PC실),대면
53,주간,,전기공학과 (1학년 대상),,,기초교양,,111452,비전있는대학생활,23,2,2,0,김현섭,"(화)8,9",공대3-13101,대면
54,주간,,토목공학과 (1학년 대상),,,기초교양,,111452,비전있는대학생활,24,2,2,0,원명수,"(수)2,3",공대4-6410,대면
55,주간,,환경공학과 (1학년 대상),,,기초교양,,111452,비전있는대학생활,25,2,2,0,정승우,"(수)2,3",해대2-702107,대면
56,주간,,신소재공학과 (1학년 대상),,,기초교양,,111452,비전있는대학생활,26,2,2,0,권성구,"(목)6,7",공대1-7413,대면
57,주간,,화학공학과 (1학년 대상),,,기초교양,,111452,비전있는대학생활,27,2,2,0,정영민,"(화)3,4",공대2-9507,대면
58,주간,,IT융합통신공학과 (1학년 대상),,,기초교양,,111452,비전있는대학생활,28,2,2,0,신호섭,"(수)2,3",공대3-13523,대면
59,주간,,조선공학과 (1학년 대상),,,기초교양,,111452,비전있는대학생활,29,2,2,0,오정근,"(화)8,9",종합-131-114,대면
60,주간,,기계공학부 1 (1학년 대상),,,기초교양,,111452,비전있는대학생활,30,2,2,0,권백순,"(월)6,7",공대2-9308,대면
61,주간,,기계공학부 2 (1학년 대상),,,기초교양,,111452,비전있는대학생활,31,2,2,0,구본용,"(월)6,7",공대2-9309,대면
62,주간,,기계공학부 3 (1학년 대상),,,기초교양,,111452,비전있는대학생활,32,2,2,0,김영철,"(월)6,7",공대2-9108,대면
63,주간,,해양건설공학과 (1학년 대상),,,기초교양,,111452,비전있는대학생활,33,2,2,0,김동현,"(수)6,7",해대1-701616,대면
64,주간,,기관공학과 (1학년 대상),,,기초교양,,111452,비전있는대학생활,34,2,2,0,윤영민,"(월)8,9",해대2-702112,대면
65,주간,,법행정경찰학부 1 (1학년 대상),,,기초교양,,111452,비전있는대학생활,35,2,2,0,채용예정,"(월)2,3",사회관-2430,대면
66,주간,,법행정경찰학부 2 (1학년 대상),,,기초교양,,111452,비전있는대학생활,36,2,2,0,황창호,"(화)8,9",사회관-2228,대면
67,주간,,회계학부 (1학년 대상),,,기초교양,,111452,비전있는대학생활,37,2,2,0,이성균,"(목)1,2",사회관-2427,대면
68,주간,,미디어문화학부 (1학년 대상),,,기초교양,,111452,비전있는대학생활,38,2,2,0,고흥석,"(화)2,3",인문관-1419,대면
69,주간,,경영학부 1 (1학년 대상),,,기초교양,,111452,비전있는대학생활,39,2,2,0,김장현,"(수)6,7",종합-131-221,대면
70,주간,,경영학부 2 (1학년 대상),,,기초교양,,111452,비전있는대학생활,40,2,2,0,윤기창,"(수)6,7",종합-131-220,대면
71,주간,,사회복지학부 (1학년 대상),,,기초교양,,111452,비전있는대학생활,41,2,2,0,강영숙,"(화)1,2",사회관-2305,대면
72,주간,,아동학부 (1학년 대상),,,기초교양,,111452,비전있는대학생활,42,2,2,0,김정희,"(수)6,7",자연대2-2401,대면
73,주간,,체육학부 (1학년 대상),,,기초교양,,111452,비전있는대학생활,43,2,2,0,이호근,"(목)2,3",스포츠-12104,대면
74,주간,,간호학부 간호학전공 (1학년 대상),,,기초교양,,111452,비전있는대학생활,44,2,2,0,김은경,"(수)3,4",산학연-607,대면
75,주간,,첨단과학기술학부 (1학년 대상),,,기초교양,,111452,비전있는대학생활,45,2,2,0,최한규,"(화)5,6",자연대1-1214,대면
76,주간,,의류학부 (1학년 대상),,,기초교양,,111452,비전있는대학생활,46,2,2,0,김하연,"(수)2,3",자연대1-1415,대면
77,주간,,해양경찰학부 (1학년 대상),,,기초교양,,111452,비전있는대학생활,47,2,2,0,채용예정,"(월)8,9",종합-131-302,대면
78,주간,,컴퓨터소프트웨어학부 1 (1학년 대상),,,기초교양,,111452,비전있는대학생활,48,2,2,0,이영석,"(수)1,2",공대3-13419,대면
79,주간,,컴퓨터소프트웨어학부 2 (1학년 대상),,,기초교양,,111452,비전있는대학생활,49,2,2,0,박상준,"(수)1,2",디지털정보관-327,대면
80,주간,,컴퓨터소프트웨어학부 3 (1학년 대상),,,기초교양,,111452,비전있는대학생활,50,2,2,0,정재훈,"(수)1,2",공대3-13103,대면
81,주간,,컴퓨터소프트웨어학부 4 (1학년 대상),,,기초교양,,111452,비전있는대학생활,51,2,2,0,이석훈,"(수)1,2",디지털정보관-116,대면
82,주간,,건축공학부 (1학년 대상),,,기초교양,,111452,비전있는대학생활,52,2,2,0,장세준,"(월)8,9",공대5-8317,대면
83,주간,,공간디자인융합기술학부 (1학년 대상),,,기초교양,,111452,비전있는대학생활,53,2,2,0,이지숙,"(수)6,7",자연대3-3215,대면
84,주간,,에너지신산업학부 (1학년 대상),,,기초교양,,111452,비전있는대학생활,54,2,2,0,양정엽,"(화)6,7",자연대4-4209,대면
85,주간,,자율전공학부 1 (1학년 대상),,,기초교양,,111452,비전있는대학생활,55,2,2,0,채용예정,"(월)8,9",자연대1-1416,대면
