id,department,grade,course_type,course_number,course_name,credits,capacity,professor,class_time,location1,class_time2,location2,class_type
1,기초교양,전체,기초교양,112919-07,기초글쓰기,3,70,이다운,"Mon:6,7Wed:7",인문관-1102,,,대면
2,기초교양,전체,기초교양,112919-05,기초글쓰기,3,70,박성준,"Mon:6,7Wed:7",인문관-1103,,,대면
3,기초교양,전체,기초교양,112919-07,기초글쓰기,3,70,이강하,"Mon:8,9Wed:6",인문관-1103,,,대면
4,기초교양,전체,기초교양,112919-08,기초글쓰기,3,70,김교식,"Mon:8,9Wed:6",사회관-2328,,,대면
5,기초교양,전체,기초교양,112919-09,기초글쓰기,3,70,정훈,"Tue:1,2Thu:3",사회관-2328,,,대면
6,기초교양,전체,기초교양,112919-10,기초글쓰기,3,70,홍덕구,"Tue:1,2Thu:3",인문관-1328,,,대면
7,기초교양,전체,기초교양,112919-11,기초글쓰기,3,70,송지선,"Tue:1,2Thu:3",인문관-1329,,,대면
8,기초교양,전체,기초교양,112919-12,기초글쓰기,3,70,홍덕구,"Tue:3Thu:1,2",인문관-1105,,,대면
9,기초교양,전체,기초교양,112919-17,기초글쓰기,3,70,정훈,"Tue:3Thu:1,2",사회관-2328,,,대면
10,기초교양,전체,기초교양,112919-16,기초글쓰기,3,70,김교식,"Wed:2Fri:1,2",인문관-1328,,,대면
11,기초교양,전체,기초교양,112919-17,기초글쓰기,3,70,김세나,"Wed:2Fri:1,2",인문관-1329,,,대면
12,기초교양,전체,기초교양,112919-22,기초글쓰기,3,70,이강하,"Mon:6,7Wed:7",인문관-1328,,,대면
13,기초교양,전체,기초교양,112919-27,기초글쓰기,3,70,유경현,"Fri:10,11,12",원격강의,,,비대면
14,기초교양,전체,기초교양,116100-01,데이터분석을위한기초코딩,3,70,박영미,"Mon:6,7Wed:6,7",사회관-2230(PC실),,,대면
15,기초교양,전체,기초교양,116100-02,데이터분석을위한기초코딩,3,70,양현호,"Mon:6,7Wed:6,7",공대1-7117(PC실),,,대면
16,기초교양,전체,기초교양,101932-01,실용중국어,3,70,배주애,"Tue:1,2Thu:3",인문관-1219,,,대면
17,기초교양,전체,기초교양,102175-01,영어1,2,70,김요섭,"Mon:8,9",인문관-1105,,,대면
18,기초교양,전체,기초교양,102176-01,영어2/초급,2,70,권예은,"Mon:1,2",인문관-1102,,,대면
19,기초교양,전체,기초교양,102176-02,영어2/중급,2,70,김요섭,"Mon:1,2",인문관-1103,,,대면
20,기초교양,전체,기초교양,102176-03,영어2/중급,2,70,이현정,"Mon:1,2",인문관-1105,,,대면
21,기초교양,전체,기초교양,102176-07,영어2/초급,2,70,권예은,"Tue:1,2",인문관-1102,,,대면
22,기초교양,전체,기초교양,102176-08,영어2/중급,2,70,김화정,"Tue:1,2",인문관-1103,,,대면
23,기초교양,전체,기초교양,102176-09,영어2/중급,2,70,장소영,"Tue:1,2",인문관-1105,,,대면
24,기초교양,전체,기초교양,102176-13,영어2/초급,2,70,김태형,"Tue:6,7",인문관-1330,,,대면
25,기초교양,전체,기초교양,102176-17,영어2/중급,2,70,이현정,"Tue:6,7",인문관-1331,,,대면
26,기초교양,전체,기초교양,102176-18,영어2/초급,2,70,권예은,"Thu:1,2",인문관-1102,,,대면
27,기초교양,전체,기초교양,102176-19,영어2/중급,2,70,김화정,"Thu:1,2",인문관-1103,,,대면
28,기초교양,전체,기초교양,102176-23,영어2/초급,2,70,장소영,"Thu:6,7",인문관-1102,,,대면
29,기초교양,전체,기초교양,102176-27,영어2/초급,2,70,권예은,"Thu:6,7",인문관-1103,,,대면
30,기초교양,전체,기초교양,102176-25,영어2/중급,2,70,이현정,"Thu:6,7",인문관-1105,,,대면
31,기초교양,전체,기초교양,102176-29,영어2/초급,2,70,장소영,"Fri:1,2",인문관-1102,,,대면
32,기초교양,전체,기초교양,102176-30,영어2/중급,2,70,김화정,"Fri:1,2",인문관-1103,,,대면
33,기초교양,전체,기초교양,102176-31,영어2/중급,2,70,유영옥,"Fri:1,2",인문관-1105,,,대면
34,기초교양,전체,기초교양,102176-32,영어2/중급,2,70,,"Fri:1,2",인문관-1105,,,대면
35,기초교양,전체,기초교양,102176-35,영어2/초급,2,70,장소영,"Fri:6,7",인문관-1102,,,대면
36,기초교양,전체,기초교양,102176-36,영어2/중급,2,70,김화정,"Fri:6,7",인문관-1103,,,대면
37,기초교양,전체,기초교양,102176-37,영어2/중급,2,70,유영옥,"Fri:6,7",인문관-1105,,,대면
38,기초교양,전체,기초교양,115916-01,유학생을위한한국어중급말하기듣기,2,70,김지영,"Wed:2Fri:1,2",황룡문화관-3306,,,대면
39,기초교양,전체,기초교양,115911-01,유학생을위한한국어초급말하기듣기,2,70,최은하,"Mon:1,2Wed:3",황룡문화관-3306,,,대면
40,기초교양,전체,기초교양,115917-01,유학생을위한한국어초급쓰기,2,70,김민정,"Tue:3Thu:1,2",황룡문화관-3306,,,대면
41,기초교양,전체,기초교양,115913-01,유학생을위한한국어초급읽기,2,70,김민정,"Tue:1,2Thu:3",황룡문화관-3306,,,대면
42,기초교양,전체,기초교양,115676-02,초급영어회화(2),3,20,윌리엄 요셉 피터스,"Mon:6,7Wed:7",인문관-1219,,,대면
43,기초교양,전체,기초교양,103287-01,초급일본어,3,70,권근령,"Mon:8,9Wed:6",인문관-1219,,,대면
44,기초교양,전체,기초교양,111688-01,초급일본어회화,3,20,기타미사토미,"Tue:3Thu:1,2",인문관-1219,,,대면
45,기초교양,전체,기초교양,111688-02,초급일본어회화,3,20,안지영,"Wed:2Fri:1,2",인문관-1219,,,대면
46,기초교양,전체,기초교양,103362-03,컴퓨터활용및실습,3,70,장혜숙,"Tue:6,7Thu:8,9",사회관-2230(PC실),,,대면
47,기초교양,전체,기초교양,103362-05,컴퓨터활용및실습,3,70,장혜숙,"Tue:8,9Thu:6,7",사회관-2230(PC실),,,대면
48,기초교양,전체,기초교양,103577-03,프로그래밍언어및실습(1),3,70,권백순,"Tue:6,7Thu:8,9",해대1-701113(PC실),,,대면
49,기초교양,전체,기초교양,103577-05,프로그래밍언어및실습(1),3,70,김선영,"Tue:8,9Thu:6,7",공대1-7117(PC실),,,대면
50,기초교양,전체,기초교양,103577-06,프로그래밍언어및실습(1),3,70,박준수,"Tue:8,9Thu:6,7",해대1-701113(PC실),,,대면
51,기초교양,전체,기초교양,112919-01,기초글쓰기,3,70,박성준,"Mon:3,4Wed:1",인문관-1102,,,대면
52,기초교양,전체,기초교양,112919-02,기초글쓰기,3,70,송지선,"Mon:3,4Wed:1",자연대4-4504,,,대면
53,기초교양,전체,기초교양,112919-03,기초글쓰기,3,70,김세나,"Mon:3,4Wed:1",자연대4-4507,,,대면
54,기초교양,전체,기초교양,112919-06,기초글쓰기,3,70,조규찬,"Mon:6,7Wed:7",자연대4-4504,,,대면
55,기초교양,전체,기초교양,112919-13,기초글쓰기,3,70,송지선,"Tue:3Thu:1,2",자연대4-4507,,,대면
56,기초교양,전체,기초교양,112919-15,기초글쓰기,3,70,홍덕구,"Wed:2Fri:1,2",자연대4-4507,,,대면
57,기초교양,전체,기초교양,112919-18,기초글쓰기,3,70,김세나,"Wed:4Fri:3,4",자연대4-4507,,,대면
58,기초교양,전체,기초교양,112919-19,기초글쓰기,3,70,김교식,"Wed:4Fri:3,4",인문관-1328,,,대면
59,기초교양,전체,기초교양,112919-20,기초글쓰기,3,70,송지선,"Wed:4Fri:3,4",인문관-1329,,,대면
60,기초교양,전체,기초교양,112919-21,기초글쓰기,3,70,조규찬,"Mon:8,9Wed:6",자연대4-4507,,,대면
61,기초교양,전체,기초교양,112919-23,기초글쓰기,3,70,홍덕구,"Wed:4Fri:3,4",인문관-1102,,,대면
62,기초교양,전체,기초교양,100599-01,기초중국어,3,70,장은수,"Wed:4Fri:3,4",인문관-1219,,,대면
