id,day_night,university,department,major_area,grade,course_type,course_number,course_name,section,credits,theory_hours,practice_hours,professor,class_time,class_type
1,주간,컴퓨터소프트웨어특성화대학,컴퓨터소프트웨어특성화대학,없음,1,전공선택,112773,python프로그래밍,01,3,2,2,컴과신임,"Wed:6,7Tue:3,4",대면
2,주간,컴퓨터소프트웨어특성화대학,컴퓨터소프트웨어특성화대학,없음,1,전공선택,112773,python프로그래밍,02,3,2,2,배한별,"Mon:8,9Tue:8,9",대면
3,주간,컴퓨터소프트웨어특성화대학,컴퓨터소프트웨어특성화대학,없음,1,전공선택,112773,python프로그래밍,03,3,2,2,류상문,"Mon:8,9Tue:8,9",대면
4,주간,컴퓨터소프트웨어특성화대학,컴퓨터소프트웨어특성화대학,없음,1,전공선택,112773,python프로그래밍,04,3,2,2,손창환,"Mon:8,9Tue:8,9",대면
5,주간,컴퓨터소프트웨어특성화대학,컴퓨터소프트웨어특성화대학,없음,1,전공선택,112773,python프로그래밍,05,3,2,2,류상문,"Thu:1,2Fri:8,9",대면
6,주간,컴퓨터소프트웨어특성화대학,컴퓨터소프트웨어특성화대학,없음,1,전공선택,116050,기초웹프로그래밍,01,3,2,2,컴과신임,"Thu:6,7Mon:3,4",대면
7,주간,컴퓨터소프트웨어특성화대학,컴퓨터소프트웨어특성화대학,없음,1,전공선택,116050,기초웹프로그래밍,02,3,2,2,조한규,"Mon:3,4Thu:6,7",대면
8,주간,컴퓨터소프트웨어특성화대학,컴퓨터소프트웨어특성화대학,없음,1,전공선택,116050,기초웹프로그래밍,03,3,2,2,우주,"Mon:3,4Thu:6,7",대면
9,주간,컴퓨터소프트웨어특성화대학,컴퓨터소프트웨어특성화대학,없음,1,전공선택,116050,기초웹프로그래밍,04,3,2,2,김장원,"Mon:3,4Thu:6,7",대면
10,주간,컴퓨터소프트웨어특성화대학,컴퓨터소프트웨어특성화대학,없음,1,전공선택,116050,기초웹프로그래밍,05,3,2,2,이석훈,"Mon:3,4Thu:6,7",대면
11,주간,컴퓨터소프트웨어특성화대학,컴퓨터정보공학과,컴터공학,2,전공선택,101607,소프트웨어공학,01,3,3,0,신성윤,"Mon:1,2Wed:2",대면
12,주간,컴퓨터소프트웨어특성화대학,컴퓨터정보공학과,컴터공학,2,전공선택,101607,소프트웨어공학,02,3,3,0,최미란,"Fri:2,3,4",대면
13,주간,컴퓨터소프트웨어특성화대학,컴퓨터정보공학과,컴터공학,2,전공선택,101799,시스템프로그래밍,01,3,2,2,박상준,"Tue:6,7Wed:3,4",대면
14,주간,컴퓨터소프트웨어특성화대학,컴퓨터정보공학과,컴터공학,2,전공선택,101799,시스템프로그래밍,02,3,2,2,박상준,"Wed:1,2Thu:1,2",대면
15,주간,컴퓨터소프트웨어특성화대학,컴퓨터정보공학과,컴터공학,2,전공선택,103338,컴퓨터네트워크,01,3,2,2,이종찬,"Mon:3,4Thu:6,7",대면
16,주간,컴퓨터소프트웨어특성화대학,컴퓨터정보공학과,컴터공학,2,전공선택,103338,컴퓨터네트워크,02,3,2,2,이종찬,"Wed:3,4Thu:8,9",대면
17,주간,컴퓨터소프트웨어특성화대학,컴퓨터정보공학과,컴터공학,2,전공선택,110536,정보.컴퓨터교과교재및연구법,01,3,3,0,이창우,"Mon:5Thu:1,2",대면
18,주간,컴퓨터소프트웨어특성화대학,컴퓨터정보공학과,컴터공학,2,전공필수,102234,운영체제,01,3,2,2,이창우,"Mon:6,7Tue:8,9",대면
19,주간,컴퓨터소프트웨어특성화대학,컴퓨터정보공학과,컴터공학,2,전공필수,102234,운영체제,02,3,2,2,이창우,"Mon:8,9Tue:6,7",대면
20,주간,컴퓨터소프트웨어특성화대학,컴퓨터정보공학과,컴터공학,2,전공필수,113768,컴퓨터알고리즘,01,3,2,2,이연식,"Wed:6,7Tue:3,4",대면
21,주간,컴퓨터소프트웨어특성화대학,컴퓨터정보공학과,컴터공학,2,전공필수,113768,컴퓨터알고리즘,02,3,2,2,남광우,"Wed:6,7Tue:3,4",대면
22,주간,컴퓨터소프트웨어특성화대학,컴퓨터정보공학과,컴터공학,3,전공선택,103337,컴퓨터그래픽스,01,3,2,2,컴과신임,"Thu:1,2Mon:1,2",대면
23,주간,컴퓨터소프트웨어특성화대학,컴퓨터정보공학과,컴터공학,3,전공선택,103337,컴퓨터그래픽스,02,3,2,2,미정컴과,"Wed:6,7Mon:3,4",대면
24,주간,컴퓨터소프트웨어특성화대학,컴퓨터정보공학과,컴터공학,3,전공선택,107660,게임프로그래밍,01,3,2,2,신성윤,"Tue:8,9Mon:8,9",대면
25,주간,컴퓨터소프트웨어특성화대학,컴퓨터정보공학과,컴터공학,3,전공선택,107660,게임프로그래밍,02,3,2,2,신성윤,"Tue:6,7Mon:6,7",대면
26,주간,컴퓨터소프트웨어특성화대학,컴퓨터정보공학과,컴터공학,3,전공선택,111277,Web프로그래밍(2),01,3,2,2,이종찬,"Mon:6,7Tue:6,7",대면
27,주간,컴퓨터소프트웨어특성화대학,컴퓨터정보공학과,컴터공학,3,전공선택,111277,Web프로그래밍(2),02,3,2,2,이종찬,"Mon:8,9Tue:8,9",대면
